IDs,latPRE,latPOST,latDPOST
SL13CDbDbLb,1,2,NA
SL13CLgLgLg,1,NA,NA
SL13CPiPP,11,10,NA
SL13CPDbP,7,10,10
SL13CDbPDb,6,6,NA
SL13CYYY,9,4,NA
SL13CDbLbDb,6,7,8
SL1BDbDbP,3,NA,NA
SL1BYLbY,9,6,NA
SL1BDbDbLb,7,16,6
SL1BPRP,10,10,5
SL1BLbDbLb,1,NA,NA
SL1BDbLbLb,4,11,NA
SL1BRDbR,14,15,NA
SL1BRYR,10,9,NA
SL13CYRY,5,10,NA
SL1BPPR,3,NA,NA
SL1BLbLbLb,3,7,1
SL1BPiPiPi,4,3,2
SL13CDbYDb,11,5,3
SL13CLbYLb,3,6,3
SL1BRRR,4,4,NA
SL13CPiPiLb,10,7,8
SL13CPiLbPi,6,5,1
SL1BDbRDb,5,10,NA
SL13CDbYY,2,NA,NA
SL13CYYPi,3,2,5
SL1BLgLgY,4,5,NA
SL13CRRR,4,5,NA
SL13CRDgR,2,6,NA
SL13CRDbR,6,3,7
SL1BPiPiY,4,1,4
SL13CYYR,3,1,1
SL13CPiPiPi,4,7,11
SL13CPiYPi,2,3,NA
SL13CDbPiDb,2,2,NA
SL1BLbPiPi,1,3,NA
SL1BPiLbPi,NA,1,NA
SL13CPiDbPi,NA,NA,8
SL1BPiYPi,NA,NA,7
SL13CLbLbLb,NA,NA,3
SL13CPiPPi,NA,NA,13
SL1BPiPPi,NA,NA,3
SL1BPPPi,NA,NA,4
SL13CBWB,NA,NA,6
SL13CWWW,NA,NA,3
SL13CPPiP,NA,NA,1
SL13CPiPiDb,NA,NA,4
SL13CYDbY,NA,NA,3
SL13CPiPiP,NA,NA,5
SL13CPPDg,NA,NA,3
SL13CDbLgDb,NA,NA,2
SL13CLbLbPi,NA,NA,5
SL13CDbDbPi,NA,NA,2
SL1BLbLbPi,NA,NA,2
SL1BDbDbDb,NA,NA,2
SL13CPRP,NA,NA,1
SL13CDbRDb,NA,NA,3
SL13CPiPiY,NA,NA,3
SL13CRPiR,NA,NA,1
SL1BPiPiDb,NA,NA,1
SL13CLbRLb,NA,NA,1
SL1BYRY,NA,NA,2
SL13CPPP,NA,NA,4
