,Site,Date,Session,Time,Sex,Bead,Grid,Height,Diam,ID,DateCaught,SourceIsland,OrigPerchHeight,XrayScan,Mass,Alpha,SVL
1,SL13C,30-Jun,first,8:43,F,DbDbLb,52,152,2,SL13CDbDbLb,29-May,IR11,0,57,2.2,G62,44.879
2,SL13C,30-Jun,first,8:53,M,LgLgLg,52,238,3,SL13CLgLgLg,29-May,IR11,261,61,3.2,G68,53.042
3,SL13C,30-Jun,first,8:57,M,PiPP,50,298,3,SL13CPiPP,30-May,IR11,57,93,2.5,G83,49.494
4,SL13C,30-Jun,first,9:08,M,PDbP,32,352,5,SL13CPDbP,2-Jun,SL12,391,104,3.3,H06,52.617
5,SL13C,30-Jun,first,9:12,M,DbPDb,20,25,4,SL13CDbPDb,2-Jun,SL12,385,102,3.6,H08,54.604
6,SL13C,30-Jun,first,9:36,F,YYY,46,262,3,SL13CYYY,17-Jun,SL12,115,NA,2.7,I23,NA
7,SL13C,30-Jun,first,9:52,M,DbLbDb,64,270,5,SL13CDbLbDb,29-May,IR11,185,69,2.8,G73,51.754
8,SL1B,30-Jun,first,10:30,M,DbDbP,29,124,14,SL1BDbDbP,25-May,SL3,145,48,2.3,G46,49.84
9,SL1B,30-Jun,first,10:31,M,YLbY,25,30,2,SL1BYLbY,31-May,SL12,213,98,3.1,H03,52.678
10,SL1B,30-Jun,first,10:37,M,DbDbLb,30,112,1,SL1BDbDbLb,24-May,SL3,172,41,3.4,G53,55.065
11,SL1B,30-Jun,first,11:00,M,PRP,46,218,5,SL1BPRP,24-May,SL3,150,34,2.8,G36,51.015
12,SL1B,30-Jun,first,11:12,F,LbDbLb,31,158,2,SL1BLbDbLb,24-May,SL3,139,37,1.8,G50,42.286
13,SL1B,30-Jun,first,11:43,M,DbLbLb,62,318,2,SL1BDbLbLb,24-May,SL3,NA,46,3,G41,52.039
14,SL1B,30-Jun,first,11:59,M,RDbR,19,119,2,SL1BRDbR,30-May,IR11,32,85,2.2,G77,49.916
15,SL1B,30-Jun,first,12:10,M,RYR,36,416,9,SL1BRYR,31-May,SL12,172,99,3.6,H04,52.509
16,SL13C,30-Jun,first,13:34,M,LgLgLg,52,516,1,SL13CLgLgLg,29-May,IR11,261,61,3.2,G68,53.042
17,SL13C,30-Jun,first,13:50,M,PDbP,40,287,2,SL13CPDbP,2-Jun,SL12,391,104,3.3,H06,52.617
18,SL13C,30-Jun,first,14:00,M,YRY,42,195,5,SL13CYRY,29-May,IR11,213,72,2.8,G57,53.451
19,SL1B,3-Jul,first,7:50,M,RYR,28,172,10,SL1BRYR,31-May,SL12,172,99,3.6,H04,52.509
20,SL1B,3-Jul,first,8:00,F,PPR,34,83,2,SL1BPPR,25-May,SL3,234,50,2.2,G45,45.851
21,SL1B,3-Jul,first,8:06,M,DbDbP,13,235,4,SL1BDbDbP,25-May,SL3,145,48,2.3,G46,49.84
22,SL1B,3-Jul,first,8:10,M,DbDbLb,31,69,2,SL1BDbDbLb,24-May,SL3,172,41,3.4,G53,55.065
23,SL1B,3-Jul,first,8:30,M,DbLbLb,62,336,1,SL1BDbLbLb,24-May,SL3,NA,46,3,G41,52.039
24,SL1B,3-Jul,first,8:43,M,PRP,58,385,3,SL1BPRP,24-May,SL3,150,34,2.8,G36,51.015
25,SL1B,3-Jul,first,8:58,M,RDbR,19,173,3,SL1BRDbR,30-May,IR11,32,85,2.2,G77,49.916
26,SL1B,3-Jul,first,10:00,M,YLbY,25,30,2,SL1BYLbY,31-May,SL12,213,98,3.1,H03,52.678
27,SL1B,3-Jul,first,10:01,F,LbLbLb,26,0,NA,SL1BLbLbLb,30-May,IR11,0,80,2.2,G80,45.674
28,SL1B,3-Jul,first,10:11,F,PiPiPi,40,0,NA,SL1BPiPiPi,29-May,IR11,0,77,2,G90,44.297
29,SL13C,3-Jul,first,11:30,M,DbYDb,50,100,4,SL13CDbYDb,29-May,IR11,83,59,2.5,G72,51.235
30,SL13C,3-Jul,first,11:40,M,DbLbDb,71,121,4,SL13CDbLbDb,29-May,IR11,185,69,2.8,G73,51.754
31,SL13C,3-Jul,first,12:00,F,LbYLb,32,100,1,SL13CLbYLb,28-May,SL12,129,56,1.8,G69,42.368
32,SL13C,3-Jul,first,12:23,M,PDbP,33,236,3,SL13CPDbP,2-Jun,SL12,391,104,3.3,H06,52.617
33,SL1B,3-Jul,first,13:34,M,DbDbLb,34,61,4,SL1BDbDbLb,24-May,SL3,172,41,3.4,G53,55.065
34,SL1B,3-Jul,first,13:44,M,PRP,53,129,9,SL1BPRP,24-May,SL3,150,34,2.8,G36,51.015
35,SL1B,3-Jul,first,13:55,M,RDbR,39,27,5,SL1BRDbR,30-May,IR11,32,85,2.2,G77,49.916
36,SL1B,3-Jul,first,14:00,M,YLbY,40,62,19,SL1BYLbY,31-May,SL12,213,98,3.1,H03,52.678
37,SL13C,3-Jul,first,15:30,M,YRY,28,376,2,SL13CYRY,29-May,IR11,213,72,2.8,G57,53.451
38,SL1B,4-Jul,first,7:20,M,DbDbLb,30,178,1,SL1BDbDbLb,24-May,SL3,172,41,3.4,G53,55.065
39,SL1B,4-Jul,first,7:35,F,RRR,3,73,3,SL1BRRR,31-May,SL12,80,97,2.4,H02,45.158
40,SL1B,4-Jul,first,7:44,M,RDbR,18,15,12,SL1BRDbR,30-May,IR11,32,85,2.2,G77,49.916
41,SL1B,4-Jul,first,7:50,F,PiPiPi,19,231,1,SL1BPiPiPi,29-May,IR11,0,77,2,G90,44.297
42,SL1B,4-Jul,first,8:00,M,DbDbP,29,375,14,SL1BDbDbP,25-May,SL3,145,48,2.3,G46,49.84
43,SL1B,4-Jul,first,8:05,M,YLbY,24,300,1,SL1BYLbY,31-May,SL12,213,98,3.1,H03,52.678
44,SL1B,4-Jul,first,9:25,M,DbDbLb,11,253,1,SL1BDbDbLb,24-May,SL3,172,41,3.4,G53,55.065
45,SL1B,4-Jul,first,9:45,F,PiPiPi,24,13,9,SL1BPiPiPi,29-May,IR11,0,77,2,G90,44.297
46,SL1B,4-Jul,first,9:45,M,YLbY,25,27,13,SL1BYLbY,31-May,SL12,213,98,3.1,H03,52.678
47,SL1B,4-Jul,first,10:10,M,PRP,51,252,4,SL1BPRP,24-May,SL3,150,34,2.8,G36,51.015
48,SL1B,4-Jul,first,10:17,M,RYR,51,351,2,SL1BRYR,31-May,SL12,172,99,3.6,H04,52.509
49,SL13C,4-Jul,first,11:15,M,DbLbDb,70,56,20,SL13CDbLbDb,29-May,IR11,185,69,2.8,G73,51.754
50,SL13C,4-Jul,first,11:40,M,DbPDb,32,213,8,SL13CDbPDb,2-Jun,SL12,385,102,3.6,H08,54.604
51,SL13C,5-Jul,first,8:38,M,PiPiLb,52,393,3,SL13CPiPiLb,30-May,IR11,105,81,3.3,G78,52.171
52,SL13C,5-Jul,first,8:41,M,PiPP,62,277,9,SL13CPiPP,30-May,IR11,57,93,2.5,G83,49.494
53,SL13C,5-Jul,first,8:50,M,PiLbPi,59,275,3,SL13CPiLbPi,16-Jun,SL3,202,NA,2.7,I10,NA
54,SL13C,5-Jul,first,9:15,M,YRY,11,263,1,SL13CYRY,29-May,IR11,213,72,2.8,G57,53.451
55,SL1B,5-Jul,first,10:00,F,PPR,34,72,2,SL1BPPR,25-May,SL3,234,50,2.2,G45,45.851
56,SL1B,5-Jul,first,10:04,F,RRR,25,0,NA,SL1BRRR,31-May,SL12,80,97,2.4,H02,45.158
57,SL1B,10-Jul,first,16:40,M,DbRDb,39,47,5,SL1BDbRDb,24-May,SL3,NA,47,2.7,G48,50.924
58,SL1B,10-Jul,first,16:40,M,RDbR,26,74,1,SL1BRDbR,30-May,IR11,32,85,2.2,G77,49.916
59,SL1B,10-Jul,first,17:45,M,PRP,61,190,8,SL1BPRP,24-May,SL3,150,34,2.8,G36,51.015
60,SL1B,10-Jul,first,17:55,M,DbDbLb,30,331,11,SL1BDbDbLb,24-May,SL3,172,41,3.4,G53,55.065
61,SL13C,10-Jul,first,18:40,M,PiPP,52,318,2,SL13CPiPP,30-May,IR11,57,93,2.5,G83,49.494
62,SL1B,11-Jul,first,8:50,M,DbLbLb,62,316,2,SL1BDbLbLb,24-May,SL3,NA,46,3,G41,52.039
63,SL1B,11-Jul,first,8:57,M,RYR,35,253,2,SL1BRYR,31-May,SL12,172,99,3.6,H04,52.509
64,SL1B,11-Jul,first,9:05,M,DbDbP,30,218,14,SL1BDbDbP,25-May,SL3,145,48,2.3,G46,49.84
65,SL1B,11-Jul,first,9:25,F,PPR,36,530,1,SL1BPPR,25-May,SL3,234,50,2.2,G45,45.851
66,SL1B,11-Jul,first,9:32,M,YLbY,24,340,4,SL1BYLbY,31-May,SL12,213,98,3.1,H03,52.678
