Site,Grid,X,Y
SL13C,1,0,2
SL13C,2,0,4
SL13C,3,0,6
SL13C,4,0,8
SL13C,5,0,10
SL13C,6,0,12
SL13C,7,0,14
SL13C,8,0,16
SL13C,9,2,16
SL13C,10,2,14
SL13C,11,2,12
SL13C,12,2,10
SL13C,13,2,8
SL13C,14,2,6
SL13C,15,2,4
SL13C,16,2,2
SL13C,17,2,0
SL13C,18,4,0
SL13C,19,4,2
SL13C,20,4,4
SL13C,21,4,6
SL13C,22,4,8
SL13C,23,4,10
SL13C,24,4,12
SL13C,25,4,14
SL13C,26,4,16
SL13C,27,6,16
SL13C,28,6,14
SL13C,29,6,12
SL13C,30,6,10
SL13C,31,6,8
SL13C,32,6,6
SL13C,33,6,4
SL13C,34,6,2
SL13C,35,6,0
SL13C,36,8,0
SL13C,37,8,2
SL13C,38,8,4
SL13C,39,8,6
SL13C,40,8,8
SL13C,41,8,10
SL13C,42,8,12
SL13C,43,8,14
SL13C,44,8,16
SL13C,45,10,18
SL13C,46,10,16
SL13C,47,10,14
SL13C,48,10,12
SL13C,49,10,10
SL13C,50,10,8
SL13C,51,10,6
SL13C,52,10,4
SL13C,53,10,2
SL13C,54,12,4
SL13C,55,12,6
SL13C,56,12,8
SL13C,57,12,10
SL13C,58,12,12
SL13C,59,12,14
SL13C,60,12,16
SL13C,61,14,16
SL13C,62,14,14
SL13C,63,14,12
SL13C,64,14,10
SL13C,65,14,8
SL13C,66,14,6
SL13C,67,14,4
SL13C,68,16,4
SL13C,69,16,6
SL13C,70,16,8
SL13C,71,16,10
SL13C,72,16,12
SL13C,73,16,14
SL13C,74,18,12
SL13C,75,18,10
SL13C,76,18,8
SL13C,77,18,6
SL13C,78,18,4
SL1B,1,0,0
SL1B,2,0,2
SL1B,3,0,4
SL1B,4,0,6
SL1B,5,0,8
SL1B,6,0,10
SL1B,7,0,12
SL1B,8,0,14
SL1B,9,0,16
SL1B,10,0,18
SL1B,11,2,20
SL1B,12,2,18
SL1B,13,2,16
SL1B,14,2,14
SL1B,15,2,12
SL1B,16,2,10
SL1B,17,2,8
SL1B,18,2,6
SL1B,19,2,4
SL1B,20,2,2
SL1B,21,2,0
SL1B,22,4,0
SL1B,23,4,2
SL1B,24,4,4
SL1B,25,4,6
SL1B,26,4,8
SL1B,27,4,10
SL1B,28,4,12
SL1B,29,4,14
SL1B,30,4,16
SL1B,31,4,18
SL1B,32,4,20
SL1B,33,6,18
SL1B,34,6,16
SL1B,35,6,14
SL1B,36,6,12
SL1B,37,6,10
SL1B,38,6,8
SL1B,39,6,6
SL1B,40,6,4
SL1B,41,6,2
SL1B,42,6,0
SL1B,43,8,2
SL1B,44,8,4
SL1B,45,8,6
SL1B,46,8,8
SL1B,47,8,10
SL1B,48,8,12
SL1B,49,8,14
SL1B,50,8,16
SL1B,51,10,14
SL1B,52,10,12
SL1B,53,10,10
SL1B,54,10,8
SL1B,55,12,8
SL1B,56,12,10
SL1B,57,12,12
SL1B,58,12,14
SL1B,59,12,16
SL1B,60,14,16
SL1B,61,14,14
SL1B,62,16,14
