Site,Square,iButton,Height,CoveredOrOpen,Possible submersion
SL1B,50,1,28,O,N
SL1B,50,2,187,H,N
SL13C,68,3,100,O,N
SL13C,13,4,0,O,N
SL1B,14,5,0,O,N
SL13C,61,6,261,H,N
SL13C,59,7,28,O,Y
SL1B,35,8,135,H,N
SL1B,47,9,0,H,N
NONE,NA,10,NA,NA,NA
SL1B,56,11,151,O,N
SL1B,12,12,0,O,Y
SL1B,22,13,0,O,Y
SL13C,38,14,269,C,N
SL1B,47,15,155,H,N
SL1B,17,16,0,O,N
SL13C,59,17,198,O,N
SL1B,31,18,423,O,N
SL13C,38,19,8,O,N
SL13C,38,20,158,C,N
SL13C,9,21,0,O,Y
SL1B,25,22,0,O,N
SL13C,12,23,111,O,N
SL1B,47,24,365,H,N
SL13C,9,25,175,H,N
SL1B,35,26,0,O,N
SL1B,25,27,199,O,N
SL13C,34,28,249,H,N
SL13C,58,29,430,H,N
SL13C,59,30,389,H,N
SL13C,58,31,142,O,N
SL1B,14,32,101,H,N
SL1B,35,33,394,O,N
SL1B,60,34,286,O,N
SL1B,12,35,191,H,N
SL13C,61,36,131,H,N
SL1B,55,37,266,H,N
SL1B,56,38,383,O,N
SL13C,52,39,40,O,Y
SL13C,34,40,109,H,N
SL13C,76,41,48,O,Y
SL13C,68,42,15,O,N
SL13C,52,43,387,C,N
SL13C,12,44,0,O,N
SL1B,31,45,246,O,N
SL13C,58,46,12,O,N
SL1B,60,47,187,O,N
SL13C,13,48,152,O,N
SL1B,17,49,156,C,N
SL1B,22,50,106,H,N
SL13C,76,51,200,O,N
SL1B,25,52,278,O,N
SL13C,34,53,22,O,N
SL13C,52,54,185,H,N
SL1B,31,55,0,O,N
SL1B,55,56,164,H,N
